Played 242 out of 4900 games (5%): [45, 15] 
Played 243 out of 4900 games (5%): [45, 17] 
Played 244 out of 4900 games (5%): [46, 17] 
Played 245 out of 4900 games (5%): [47, 17] 
Played 246 out of 4900 games (5%): [48, 17] 
Played 247 out of 4900 games (5%): [48, 18] 
Played 248 out of 4900 games (5%): [50, 18] 
Played 249 out of 4900 games (5%): [51, 18] 
Played 250 out of 4900 games (5%): [52, 18] 
Played 251 out of 4900 games (5%): [53, 18] 
Played 252 out of 4900 games (5%): [54, 18] 
Played 253 out of 4900 games (5%): [54, 20] 
Played 254 out of 4900 games (5%): [54, 21] 
Played 255 out of 4900 games (5%): [56, 21] 
Played 256 out of 4900 games (5%): [58, 21] 
Played 257 out of 4900 games (5%): [59, 21] 
Played 258 out of 4900 games (5%): [60, 21] 
Played 259 out of 4900 games (5%): [62, 21] 
Played 260 out of 4900 games (5%): [62, 22] 
Played 261 out of 4900 games (5%): [63, 22] 
Played 262 out of 4900 games (5%): [64, 22] 
Played 263 out of 4900 games (5%): [66, 22] 
Played 264 out of 4900 games (5%): [67, 22] 
Played 265 out of 4900 games (5%): [68, 22] 
Played 266 out of 4900 games (5%): [69, 22] 
Played 267 out of 4900 games (5%): [70, 22] 
Played 268 out of 4900 games (5%): [71, 22] 
Played 269 out of 4900 games (5%): [72, 22] 
Played 270 out of 4900 games (6%): [72, 23] 
Played 271 out of 4900 games (6%): [74, 23] 
Played 272 out of 4900 games (6%): [75, 23] 
Played 273 out of 4900 games (6%): [75, 24] 
Played 274 out of 4900 games (6%): [77, 24] 
Played 275 out of 4900 games (6%): [78, 24] 
Played 276 out of 4900 games (6%): [80, 24] 
Played 277 out of 4900 games (6%): [80, 25] 
Played 278 out of 4900 games (6%): [82, 25] 
Played 279 out of 4900 games (6%): [83, 25] 
Played 280 out of 4900 games (6%): [84, 25] 
Played 281 out of 4900 games (6%): [84, 27] 
Played 282 out of 4900 games (6%): [86, 27] 
Played 283 out of 4900 games (6%): [87, 27] 
Played 284 out of 4900 games (6%): [88, 27] 
Played 285 out of 4900 games (6%): [90, 27] 
Played 286 out of 4900 games (6%): [92, 27] 
Played 287 out of 4900 games (6%): [93, 27] 
Played 288 out of 4900 games (6%): [93, 29] 
Played 289 out of 4900 games (6%): [93, 30] 
Played 290 out of 4900 games (6%): [94, 30] 
Played 291 out of 4900 games (6%): [96, 30] 
Played 292 out of 4900 games (6%): [98, 30] 
Played 293 out of 4900 games (6%): [99, 30] 
Played 294 out of 4900 games (6%): [99, 31] 
Played 295 out of 4900 games (6%): [100, 31] 
Played 296 out of 4900 games (6%): [100, 34] 
Played 297 out of 4900 games (6%): [101, 34] 
