Played 450 out of 4900 games (9%): [19, 38] 
Played 451 out of 4900 games (9%): [20, 38] 
Played 452 out of 4900 games (9%): [21, 38] 
Played 453 out of 4900 games (9%): [22, 38] 
Played 454 out of 4900 games (9%): [23, 38] 
Played 455 out of 4900 games (9%): [24, 38] 
Played 456 out of 4900 games (9%): [24, 39] 
Played 457 out of 4900 games (9%): [24, 40] 
Played 458 out of 4900 games (9%): [24, 41] 
Played 459 out of 4900 games (9%): [24, 42] 
Played 460 out of 4900 games (9%): [25, 42] 
Played 461 out of 4900 games (9%): [25, 43] 
Played 462 out of 4900 games (9%): [25, 44] 
Played 463 out of 4900 games (9%): [27, 44] 
Played 464 out of 4900 games (9%): [28, 44] 
Played 465 out of 4900 games (9%): [29, 44] 
Played 466 out of 4900 games (10%): [29, 45] 
Played 467 out of 4900 games (10%): [29, 47] 
Played 468 out of 4900 games (10%): [29, 48] 
Played 469 out of 4900 games (10%): [30, 48] 
Played 470 out of 4900 games (10%): [32, 48] 
Played 471 out of 4900 games (10%): [33, 48] 
Played 472 out of 4900 games (10%): [34, 48] 
Played 473 out of 4900 games (10%): [35, 48] 
Played 474 out of 4900 games (10%): [36, 48] 
Played 475 out of 4900 games (10%): [37, 48] 
Played 476 out of 4900 games (10%): [37, 50] 
Played 477 out of 4900 games (10%): [37, 51] 
Played 478 out of 4900 games (10%): [37, 52] 
Played 479 out of 4900 games (10%): [37, 53] 
Played 480 out of 4900 games (10%): [38, 53] 
Played 481 out of 4900 games (10%): [38, 55] 
Played 482 out of 4900 games (10%): [38, 56] 
Played 483 out of 4900 games (10%): [39, 56] 
Played 484 out of 4900 games (10%): [40, 56] 
Played 485 out of 4900 games (10%): [40, 57] 
Played 486 out of 4900 games (10%): [40, 58] 
Played 487 out of 4900 games (10%): [40, 59] 
Played 488 out of 4900 games (10%): [41, 59] 
Played 489 out of 4900 games (10%): [41, 60] 
Played 490 out of 4900 games (10%): [42, 60] 
Played 491 out of 4900 games (10%): [43, 60] 
Played 492 out of 4900 games (10%): [45, 60] 
Played 493 out of 4900 games (10%): [46, 60] 
Played 494 out of 4900 games (10%): [46, 61] 
Played 495 out of 4900 games (10%): [46, 62] 
Played 496 out of 4900 games (10%): [47, 62] 
Played 497 out of 4900 games (10%): [48, 62] 
Played 498 out of 4900 games (10%): [49, 62] 
Played 499 out of 4900 games (10%): [49, 63] 
Played 500 out of 4900 games (10%): [49, 64] 
Played 501 out of 4900 games (10%): [0, 1] 
Played 502 out of 4900 games (10%): [1, 1] 
Played 503 out of 4900 games (10%): [1, 2] 
Played 504 out of 4900 games (10%): [2, 2] 
Played 505 out of 4900 games (10%): [3, 2] 
Played 506 out of 4900 games (10%): [3, 3] 
Played 507 out of 4900 games (10%): [4, 3] 
Played 508 out of 4900 games (10%): [5, 3] 
Played 509 out of 4900 games (10%): [6, 3] 
Played 510 out of 4900 games (10%): [6, 4] 
Played 511 out of 4900 games (10%): [8, 4] 
Played 512 out of 4900 games (10%): [9, 4] 
Played 513 out of 4900 games (10%): [9, 5] 
Played 514 out of 4900 games (10%): [11, 5] 
Played 515 out of 4900 games (11%): [12, 5] 
Played 516 out of 4900 games (11%): [12, 6] 
Played 517 out of 4900 games (11%): [12, 7] 
Played 518 out of 4900 games (11%): [13, 7] 
Played 519 out of 4900 games (11%): [14, 7] 
Played 520 out of 4900 games (11%): [14, 8] 
Played 521 out of 4900 games (11%): [14, 9] 
Played 522 out of 4900 games (11%): [15, 9] 
Played 523 out of 4900 games (11%): [15, 10] 
Played 524 out of 4900 games (11%): [15, 11] 
Played 525 out of 4900 games (11%): [16, 11] 
