/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
/home/hhe450/schnapsen-project/ai-schnapsen/bots/ml/model-100k.pkl
Playing 24200 games:
Played 344 out of 24200 games (1%): [125, 79] 
Played 345 out of 24200 games (1%): [125, 81] 
Played 346 out of 24200 games (1%): [126, 81] 
Played 347 out of 24200 games (1%): [127, 81] 
Played 348 out of 24200 games (1%): [129, 81] 
Played 349 out of 24200 games (1%): [131, 81] 
Played 350 out of 24200 games (1%): [132, 81] 
Played 351 out of 24200 games (1%): [133, 81] 
Played 352 out of 24200 games (1%): [134, 81] 
Played 353 out of 24200 games (1%): [134, 82] 
Played 354 out of 24200 games (1%): [134, 83] 
Played 355 out of 24200 games (1%): [136, 83] 
Played 356 out of 24200 games (1%): [136, 85] 
Played 357 out of 24200 games (1%): [137, 85] 
Played 358 out of 24200 games (1%): [138, 85] 
Played 359 out of 24200 games (1%): [138, 86] 
Played 360 out of 24200 games (1%): [140, 86] 
Played 361 out of 24200 games (1%): [140, 89] 
Played 362 out of 24200 games (1%): [140, 91] 
Played 363 out of 24200 games (2%): [141, 91] 
Played 364 out of 24200 games (2%): [141, 92] 
Played 365 out of 24200 games (2%): [144, 92] 
Played 366 out of 24200 games (2%): [145, 92] 
Played 367 out of 24200 games (2%): [147, 92] 
Played 368 out of 24200 games (2%): [149, 92] 
Played 369 out of 24200 games (2%): [149, 95] 
Played 370 out of 24200 games (2%): [150, 95] 
Played 371 out of 24200 games (2%): [151, 95] 
Played 372 out of 24200 games (2%): [151, 96] 
Played 373 out of 24200 games (2%): [152, 96] 
Played 374 out of 24200 games (2%): [153, 96] 
Played 375 out of 24200 games (2%): [155, 96] 
Played 376 out of 24200 games (2%): [156, 96] 
Played 377 out of 24200 games (2%): [157, 96] 
Played 378 out of 24200 games (2%): [158, 96] 
Played 379 out of 24200 games (2%): [159, 96] 
Played 380 out of 24200 games (2%): [159, 98] 
Played 381 out of 24200 games (2%): [161, 98] 
Played 382 out of 24200 games (2%): [163, 98] 
Played 383 out of 24200 games (2%): [164, 98] 
Played 384 out of 24200 games (2%): [165, 98] 
Played 385 out of 24200 games (2%): [166, 98] 
Played 386 out of 24200 games (2%): [168, 98] 
Played 387 out of 24200 games (2%): [169, 98] 
Played 388 out of 24200 games (2%): [169, 99] 
Played 389 out of 24200 games (2%): [170, 99] 
Played 390 out of 24200 games (2%): [171, 99] 
Played 391 out of 24200 games (2%): [173, 99] 
Played 392 out of 24200 games (2%): [175, 99] 
Played 393 out of 24200 games (2%): [176, 99] 
Played 394 out of 24200 games (2%): [176, 100] 
Played 395 out of 24200 games (2%): [177, 100] 
Played 396 out of 24200 games (2%): [178, 100] 
Played 397 out of 24200 games (2%): [179, 100] 
Played 398 out of 24200 games (2%): [181, 100] 
Played 399 out of 24200 games (2%): [182, 100] 
Played 400 out of 24200 games (2%): [184, 100] 
