Played 382 out of 4900 games (8%): [133, 21] 
Played 383 out of 4900 games (8%): [136, 21] 
Played 384 out of 4900 games (8%): [136, 22] 
Played 385 out of 4900 games (8%): [136, 24] 
Played 386 out of 4900 games (8%): [139, 24] 
Played 387 out of 4900 games (8%): [139, 25] 
Played 388 out of 4900 games (8%): [141, 25] 
Played 389 out of 4900 games (8%): [144, 25] 
Played 390 out of 4900 games (8%): [147, 25] 
Played 391 out of 4900 games (8%): [148, 25] 
Played 392 out of 4900 games (8%): [148, 27] 
Played 393 out of 4900 games (8%): [148, 29] 
Played 394 out of 4900 games (8%): [149, 29] 
Played 395 out of 4900 games (8%): [151, 29] 
Played 396 out of 4900 games (8%): [152, 29] 
Played 397 out of 4900 games (8%): [155, 29] 
Played 398 out of 4900 games (8%): [156, 29] 
Played 399 out of 4900 games (8%): [157, 29] 
Played 400 out of 4900 games (8%): [159, 29] 
Played 401 out of 4900 games (8%): [2, 0] 
Played 402 out of 4900 games (8%): [4, 0] 
Played 403 out of 4900 games (8%): [4, 1] 
Played 404 out of 4900 games (8%): [5, 1] 
Played 405 out of 4900 games (8%): [5, 4] 
Played 406 out of 4900 games (8%): [6, 4] 
Played 407 out of 4900 games (8%): [9, 4] 
Played 408 out of 4900 games (8%): [10, 4] 
Played 409 out of 4900 games (8%): [12, 4] 
Played 410 out of 4900 games (8%): [13, 4] 
Played 411 out of 4900 games (8%): [16, 4] 
Played 412 out of 4900 games (8%): [19, 4] 
Played 413 out of 4900 games (8%): [20, 4] 
Played 414 out of 4900 games (8%): [20, 6] 
Played 415 out of 4900 games (8%): [22, 6] 
Played 416 out of 4900 games (8%): [24, 6] 
Played 417 out of 4900 games (9%): [26, 6] 
Played 418 out of 4900 games (9%): [27, 6] 
Played 419 out of 4900 games (9%): [30, 6] 
Played 420 out of 4900 games (9%): [33, 6] 
Played 421 out of 4900 games (9%): [36, 6] 
Played 422 out of 4900 games (9%): [36, 7] 
Played 423 out of 4900 games (9%): [37, 7] 
Played 424 out of 4900 games (9%): [38, 7] 
Played 425 out of 4900 games (9%): [41, 7] 
Played 426 out of 4900 games (9%): [44, 7] 
Played 427 out of 4900 games (9%): [45, 7] 
Played 428 out of 4900 games (9%): [46, 7] 
Played 429 out of 4900 games (9%): [49, 7] 
Played 430 out of 4900 games (9%): [51, 7] 
Played 431 out of 4900 games (9%): [54, 7] 
Played 432 out of 4900 games (9%): [57, 7] 
Played 433 out of 4900 games (9%): [59, 7] 
Played 434 out of 4900 games (9%): [60, 7] 
Played 435 out of 4900 games (9%): [63, 7] 
Played 436 out of 4900 games (9%): [66, 7] 
Played 437 out of 4900 games (9%): [66, 8] 
Played 438 out of 4900 games (9%): [69, 8] 
Played 439 out of 4900 games (9%): [71, 8] 
Played 440 out of 4900 games (9%): [74, 8] 
Played 441 out of 4900 games (9%): [74, 9] 
Played 442 out of 4900 games (9%): [75, 9] 
Played 443 out of 4900 games (9%): [77, 9] 
Played 444 out of 4900 games (9%): [80, 9] 
Played 445 out of 4900 games (9%): [81, 9] 
Played 446 out of 4900 games (9%): [83, 9] 
Played 447 out of 4900 games (9%): [86, 9] 
Played 448 out of 4900 games (9%): [87, 9] 
Played 449 out of 4900 games (9%): [90, 9] 
