Played 499 out of 4900 games (10%): [72, 47] 
Played 500 out of 4900 games (10%): [72, 48] 
Played 501 out of 4900 games (10%): [0, 1] 
Played 502 out of 4900 games (10%): [1, 1] 
Played 503 out of 4900 games (10%): [1, 2] 
Played 504 out of 4900 games (10%): [1, 3] 
Played 505 out of 4900 games (10%): [1, 4] 
Played 506 out of 4900 games (10%): [2, 4] 
Played 507 out of 4900 games (10%): [3, 4] 
Played 508 out of 4900 games (10%): [3, 5] 
Played 509 out of 4900 games (10%): [4, 5] 
Played 510 out of 4900 games (10%): [5, 5] 
Played 511 out of 4900 games (10%): [6, 5] 
Played 512 out of 4900 games (10%): [7, 5] 
Played 513 out of 4900 games (10%): [7, 6] 
Played 514 out of 4900 games (10%): [7, 7] 
Played 515 out of 4900 games (11%): [8, 7] 
Played 516 out of 4900 games (11%): [9, 7] 
Played 517 out of 4900 games (11%): [10, 7] 
Played 518 out of 4900 games (11%): [12, 7] 
Played 519 out of 4900 games (11%): [13, 7] 
Played 520 out of 4900 games (11%): [14, 7] 
Played 521 out of 4900 games (11%): [14, 8] 
Played 522 out of 4900 games (11%): [14, 9] 
Played 523 out of 4900 games (11%): [14, 10] 
Played 524 out of 4900 games (11%): [15, 10] 
Played 525 out of 4900 games (11%): [16, 10] 
Played 526 out of 4900 games (11%): [18, 10] 
Played 527 out of 4900 games (11%): [18, 11] 
Played 528 out of 4900 games (11%): [19, 11] 
Played 529 out of 4900 games (11%): [20, 11] 
Played 530 out of 4900 games (11%): [21, 11] 
Played 531 out of 4900 games (11%): [21, 13] 
Played 532 out of 4900 games (11%): [22, 13] 
Played 533 out of 4900 games (11%): [22, 14] 
Played 534 out of 4900 games (11%): [24, 14] 
Played 535 out of 4900 games (11%): [24, 15] 
Played 536 out of 4900 games (11%): [25, 15] 
Played 537 out of 4900 games (11%): [25, 16] 
Played 538 out of 4900 games (11%): [26, 16] 
Played 539 out of 4900 games (11%): [26, 17] 
Played 540 out of 4900 games (11%): [27, 17] 
Played 541 out of 4900 games (11%): [27, 18] 
Played 542 out of 4900 games (11%): [28, 18] 
Played 543 out of 4900 games (11%): [28, 19] 
Played 544 out of 4900 games (11%): [29, 19] 
Played 545 out of 4900 games (11%): [30, 19] 
Played 546 out of 4900 games (11%): [30, 21] 
Played 547 out of 4900 games (11%): [30, 23] 
Played 548 out of 4900 games (11%): [31, 23] 
Played 549 out of 4900 games (11%): [32, 23] 
Played 550 out of 4900 games (11%): [33, 23] 
Played 551 out of 4900 games (11%): [34, 23] 
Played 552 out of 4900 games (11%): [34, 24] 
Played 553 out of 4900 games (11%): [35, 24] 
Played 554 out of 4900 games (11%): [35, 25] 
Played 555 out of 4900 games (11%): [36, 25] 
Played 556 out of 4900 games (11%): [37, 25] 
Played 557 out of 4900 games (11%): [38, 25] 
Played 558 out of 4900 games (11%): [40, 25] 
Played 559 out of 4900 games (11%): [40, 26] 
Played 560 out of 4900 games (11%): [40, 27] 
Played 561 out of 4900 games (11%): [40, 28] 
Played 562 out of 4900 games (11%): [40, 29] 
Played 563 out of 4900 games (11%): [40, 30] 
Played 564 out of 4900 games (12%): [41, 30] 
Played 565 out of 4900 games (12%): [42, 30] 
Played 566 out of 4900 games (12%): [43, 30] 
Played 567 out of 4900 games (12%): [44, 30] 
Played 568 out of 4900 games (12%): [45, 30] 
Played 569 out of 4900 games (12%): [46, 30] 
Played 570 out of 4900 games (12%): [48, 30] 
Played 571 out of 4900 games (12%): [48, 31] 
Played 572 out of 4900 games (12%): [50, 31] 
Played 573 out of 4900 games (12%): [51, 31] 
Played 574 out of 4900 games (12%): [52, 31] 
Played 575 out of 4900 games (12%): [54, 31] 
Played 576 out of 4900 games (12%): [55, 31] 
Played 577 out of 4900 games (12%): [55, 32] 
Played 578 out of 4900 games (12%): [55, 33] 
Played 579 out of 4900 games (12%): [57, 33] 
Played 580 out of 4900 games (12%): [58, 33] 
Played 581 out of 4900 games (12%): [59, 33] 
Played 582 out of 4900 games (12%): [60, 33] 
